Year,Gag,Gray Triggerfish,Greater Amberjack,Red Grouper,Red Snapper,Vermilion Snapper,Gray Snapper
2000,5,10,1,5,5,10,10
2001,5,10,1,5,5,10,10
2002,5,10,1,5,5,10,10
2003,5,10,1,5,5,10,10
2004,5,10,1,5,5,10,10
2005,3,10,1,2,5,10,10
2006,5,10,1,1,5,10,10
2007,5,10,1,1,2,10,10
2008,5,10,1,1,2,10,10
2009,2,10,1,2,2,10,10
2010,2,10,1,2,2,10,10
2011,2,10,1,2,2,10,10
2012,2,2,1,4,2,10,10
2013,2,2,1,4,2,10,10
2014,2,2,1,3,2,10,10
2015,2,2,1,4,2,10,10
2016,2,2,1,2,2,10,10
2017,2,2,1,2,2,10,10
2018,2,1,1,2,2,10,10
2019,2,1,1,2,2,10,10
2020,2,1,1,2,2,10,10
2021,2,1,1,2,2,10,10
2022,2,1,1,2,2,10,10
