"Division","Name"
"1","Okaloosa"
"1","Escambia"
"1","Walton"
"1","Gulf"
"1","Bay"
"2","Pasco"
"2","Franklin"
"2","Dixie"
"2","Citrus"
"2","Hernando"
"2","Taylor"
"2","Wakulla"
"3","Hillsborough"
"3","Pinellas"
"3","Manatee"
"3","Sarasota"
"4","Lee"
"4","Collier"
"5","Palm Beach"
"5","Miami-Dade"
"5","Broward"
"6","Brevard"
"6","Martin"
"6","Indian River"
"6","St. Lucie"
"7","Volusia"
"7","St. Johns"
"7","Duval"
"7","Nassau"
"8","Monroe"
"8","Franklin"
"2","Levy"
"1","Santa Rosa"
"3","Charlotte"
