"","Month","Year","Gag","Red Grouper","RED SNAPPER","Tot"
"1",1,2000,1,1,0,31
"2",1,2001,1,1,0,31
"3",1,2002,1,1,0,31
"4",1,2003,1,1,0,31
"5",1,2004,1,1,0,31
"6",1,2005,1,1,0,31
"7",1,2006,1,1,0,31
"8",1,2007,1,1,0,31
"9",1,2008,1,1,0,31
"10",1,2009,1,1,0,31
"11",1,2010,1,1,0,31
"12",1,2011,0,1,0,31
"13",1,2012,0,1,0,31
"14",1,2013,0,1,0,31
"15",1,2014,0,1,0,31
"16",1,2015,0,1,0,31
"17",1,2016,0,1,0,31
"18",1,2017,0,1,0,31
"19",1,2018,0,1,0,31
"20",1,2019,0,1,0,31
"21",1,2020,0,1,0,31
"22",1,2021,0,1,0,31
"23",1,2022,0,1,0,31
"24",1,2023,0,1,0,31
"25",2,2000,1,1,0,28
"26",2,2001,1,1,0,28
"27",2,2002,1,1,0,28
"28",2,2003,1,1,0,28
"29",2,2004,1,1,0,28
"30",2,2005,1,1,0,28
"31",2,2006,1,1,0,28
"32",2,2007,0.5,0.5,0,28
"33",2,2008,0.5,0.5,0,28
"34",2,2009,0.0357142857142857,0.0357142857142857,0,28
"35",2,2010,0.0357142857142857,0.0357142857142857,0,28
"36",2,2011,0,0.0357142857142857,0,28
"37",2,2012,0,0.0357142857142857,0,28
"38",2,2013,0,0.0357142857142857,0,28
"39",2,2014,0,1,0,28
"40",2,2015,0,1,0,28
"41",2,2016,0,1,0,28
"42",2,2017,0,1,0,28
"43",2,2018,0,1,0,28
"44",2,2019,0,1,0,28
"45",2,2020,0,1,0,28
"46",2,2021,0,1,0,28
"47",2,2022,0,1,0,28
"48",2,2023,0,1,0,28
"49",3,2000,1,1,0,31
"50",3,2001,1,1,0,31
"51",3,2002,1,1,0,31
"52",3,2003,1,1,0,31
"53",3,2004,1,1,0,31
"54",3,2005,1,1,0,31
"55",3,2006,1,1,0,31
"56",3,2007,0.516129032258065,0.580645161290323,0,31
"57",3,2008,0.483870967741935,0.483870967741935,0,31
"58",3,2009,0.516129032258065,0.516129032258065,0,31
"59",3,2010,0.516129032258065,0.032258064516129,0,31
"60",3,2011,0,0.032258064516129,0,31
"61",3,2012,0,0,0,31
"62",3,2013,0,0.032258064516129,0,31
"63",3,2014,0,1,0,31
"64",3,2015,0,1,0,31
"65",3,2016,0,1,0,31
"66",3,2017,0,1,0,31
"67",3,2018,0,1,0,31
"68",3,2019,0,1,0,31
"69",3,2020,0,1,0,31
"70",3,2021,0,1,0,31
"71",3,2022,0,1,0,31
"72",3,2023,0,1,0,31
"73",4,2000,1,1,0.4,30
"74",4,2001,1,1,0.433333333333333,30
"75",4,2002,1,1,0.433333333333333,30
"76",4,2003,1,1,0.433333333333333,30
"77",4,2004,1,1,0.4,30
"78",4,2005,1,1,0.433333333333333,30
"79",4,2006,1,1,0.433333333333333,30
"80",4,2007,1,1,0.433333333333333,30
"81",4,2008,1,1,0,30
"82",4,2009,1,1,0,30
