Month,gag: (Florida)
2004-01,20
2004-02,32
2004-03,45
2004-04,64
2004-05,66
2004-06,63
2004-07,70
2004-08,67
2004-09,40
2004-10,44
2004-11,61
2004-12,100
2005-01,12
2005-02,57
2005-03,56
2005-04,70
2005-05,59
2005-06,87
2005-07,69
2005-08,59
2005-09,63
2005-10,62
2005-11,69
2005-12,100
2006-01,61
2006-02,72
2006-03,43
2006-04,63
2006-05,46
2006-06,21
2006-07,63
2006-08,46
2006-09,45
2006-10,50
2006-11,54
2006-12,86
2007-01,60
2007-02,47
2007-03,47
2007-04,33
2007-05,57
2007-06,51
2007-07,43
2007-08,41
2007-09,48
2007-10,49
2007-11,55
2007-12,74
2008-01,55
2008-02,52
2008-03,59
2008-04,40
2008-05,47
2008-06,41
2008-07,41
2008-08,47
2008-09,40
2008-10,52
2008-11,61
2008-12,72
2009-01,38
2009-02,43
2009-03,38
2009-04,60
2009-05,51
2009-06,51
2009-07,59
2009-08,60
2009-09,62
2009-10,59
2009-11,63
2009-12,92
2010-01,70
2010-02,56
2010-03,56
2010-04,52
2010-05,56
2010-06,54
2010-07,66
2010-08,66
2010-09,55
2010-10,49
2010-11,59
2010-12,65
2011-01,46
2011-02,52
2011-03,52
2011-04,52
2011-05,55
2011-06,52
2011-07,47
2011-08,47
2011-09,51
2011-10,44
2011-11,57
2011-12,78
2012-01,50
2012-02,50
2012-03,48
2012-04,56
2012-05,56
2012-06,58
2012-07,56
2012-08,56
2012-09,54
2012-10,57
2012-11,53
2012-12,64
2013-01,45
2013-02,43
2013-03,45
2013-04,46
2013-05,48
2013-06,53
2013-07,63
2013-08,53
2013-09,49
2013-10,47
2013-11,59
2013-12,66
2014-01,49
2014-02,44
2014-03,49
2014-04,52
2014-05,52
2014-06,54
2014-07,52
2014-08,51
2014-09,55
2014-10,50
2014-11,59
2014-12,69
2015-01,42
2015-02,46
2015-03,45
2015-04,43
2015-05,48
2015-06,48
2015-07,54
2015-08,46
2015-09,47
2015-10,43
2015-11,54
2015-12,69
2016-01,39
2016-02,40
2016-03,35
2016-04,40
2016-05,48
2016-06,46
2016-07,44
2016-08,41
2016-09,40
2016-10,41
2016-11,48
2016-12,67
2017-01,64
2017-02,45
2017-03,36
2017-04,40
2017-05,42
2017-06,41
2017-07,38
2017-08,39
2017-09,33
2017-10,40
2017-11,48
2017-12,56
2018-01,35
2018-02,32
2018-03,33
2018-04,38
2018-05,40
2018-06,41
2018-07,37
2018-08,34
2018-09,35
2018-10,32
2018-11,39
2018-12,62
2019-01,37
2019-02,47
2019-03,34
2019-04,34
2019-05,37
2019-06,40
2019-07,37
2019-08,29
2019-09,33
2019-10,33
2019-11,44
2019-12,57
2020-01,32
2020-02,33
2020-03,32
2020-04,38
2020-05,43
2020-06,44
2020-07,45
2020-08,40
2020-09,41
2020-10,36
2020-11,40
2020-12,55
2021-01,37
2021-02,34
2021-03,41
2021-04,35
2021-05,38
2021-06,40
2021-07,36
2021-08,32
2021-09,36
2021-10,34
2021-11,43
2021-12,53
2022-01,34
2022-02,34
2022-03,32
2022-04,34
2022-05,35
2022-06,38
2022-07,33
2022-08,34
2022-09,35
2022-10,33
2022-11,38
2022-12,53
2023-01,34
2023-02,34
2023-03,32
2023-04,48
2023-05,38
2023-06,38
2023-07,37
2023-08,36
2023-09,36
2023-10,69
2023-11,53
2023-12,63
2024-01,32
2024-02,32
