Month,grouper: (Florida)
2004-01,44
2004-02,24
2004-03,34
2004-04,43
2004-05,41
2004-06,17
2004-07,23
2004-08,41
2004-09,8
2004-10,37
2004-11,47
2004-12,43
2005-01,36
2005-02,39
2005-03,37
2005-04,48
2005-05,40
2005-06,49
2005-07,56
2005-08,44
2005-09,28
2005-10,25
2005-11,33
2005-12,25
2006-01,28
2006-02,36
2006-03,33
2006-04,31
2006-05,39
2006-06,31
2006-07,43
2006-08,35
2006-09,36
2006-10,37
2006-11,30
2006-12,29
2007-01,39
2007-02,44
2007-03,38
2007-04,30
2007-05,37
2007-06,41
2007-07,45
2007-08,32
2007-09,31
2007-10,30
2007-11,36
2007-12,36
2008-01,33
2008-02,44
2008-03,30
2008-04,41
2008-05,40
2008-06,34
2008-07,39
2008-08,32
2008-09,25
2008-10,25
2008-11,24
2008-12,22
2009-01,39
2009-02,39
2009-03,32
2009-04,33
2009-05,38
2009-06,43
2009-07,35
2009-08,31
2009-09,30
2009-10,25
2009-11,23
2009-12,29
2010-01,28
2010-02,22
2010-03,22
2010-04,34
2010-05,33
2010-06,32
2010-07,26
2010-08,26
2010-09,24
2010-10,27
2010-11,23
2010-12,21
2011-01,30
2011-02,28
2011-03,33
2011-04,48
2011-05,40
2011-06,43
2011-07,43
2011-08,36
2011-09,34
2011-10,31
2011-11,29
2011-12,35
2012-01,37
2012-02,35
2012-03,41
2012-04,47
2012-05,49
2012-06,46
2012-07,46
2012-08,36
2012-09,39
2012-10,35
2012-11,26
2012-12,30
2013-01,37
2013-02,37
2013-03,38
2013-04,42
2013-05,40
2013-06,44
2013-07,53
2013-08,52
2013-09,37
2013-10,37
2013-11,33
2013-12,36
2014-01,33
2014-02,43
2014-03,45
2014-04,46
2014-05,51
2014-06,59
2014-07,62
2014-08,100
2014-09,42
2014-10,40
2014-11,33
2014-12,36
2015-01,44
2015-02,37
2015-03,48
2015-04,49
2015-05,62
2015-06,62
2015-07,70
2015-08,51
2015-09,35
2015-10,38
2015-11,39
2015-12,42
2016-01,44
2016-02,48
2016-03,52
2016-04,57
2016-05,72
2016-06,67
2016-07,61
2016-08,46
2016-09,40
2016-10,37
2016-11,46
2016-12,48
2017-01,44
2017-02,53
2017-03,55
2017-04,54
2017-05,62
2017-06,67
2017-07,74
2017-08,59
2017-09,30
2017-10,34
2017-11,41
2017-12,46
2018-01,40
2018-02,44
2018-03,56
2018-04,56
2018-05,54
2018-06,75
2018-07,80
2018-08,51
2018-09,39
2018-10,35
2018-11,36
2018-12,47
2019-01,46
2019-02,48
2019-03,58
2019-04,52
2019-05,60
2019-06,65
2019-07,66
2019-08,50
2019-09,39
2019-10,41
2019-11,42
2019-12,48
2020-01,57
2020-02,53
2020-03,40
2020-04,36
2020-05,66
2020-06,75
2020-07,70
2020-08,55
2020-09,49
2020-10,50
2020-11,41
2020-12,53
2021-01,51
2021-02,60
2021-03,66
2021-04,63
2021-05,75
2021-06,79
2021-07,86
2021-08,57
2021-09,47
2021-10,54
2021-11,46
2021-12,56
2022-01,51
2022-02,60
2022-03,71
2022-04,66
2022-05,68
2022-06,72
2022-07,77
2022-08,60
2022-09,44
2022-10,43
2022-11,45
2022-12,50
2023-01,55
2023-02,61
2023-03,65
2023-04,64
2023-05,66
2023-06,73
2023-07,77
2023-08,58
2023-09,45
2023-10,49
2023-11,42
2023-12,43
2024-01,49
2024-02,60
