year,fl_reg,month,Trips,Gag_catch,Gag_harvest,Gag_Discard,Gag_weight,RG_catch,RG_harvest,RG_Discard,RG_weight,RS_catch,RS_harvest,RS_Discard,RS_weight,Year,A_Gag_e,A_RS_e,A_RG_e,Date,time,sin2,sin1,cos1,cos2,A_GS_e,Index_Gag,Index_RS,Index_RG,A_Gag,A_RS,A_RG,Bag_gag,Bag_RS,Bag_RG,Month,M_Gag,M_RS,M_RG,S_Gag,S_RG,S_RS,S_Gag2,S_RG2,S_RS2,Pop,Income,Fuel,Region,Fishable,FIR,S_GagL,S_RSL,S_RGL,S_Gag2L,S_RS2L,S_RG2L,S_GagD,S_RSD,S_RGD,S_Gag2D,S_RS2D,S_RG2D,Gag_searches,RG_searches,RS_searches,Snapper_searches,Grouper_searches
2004,1,1,189525.582007188,15777.8004261747,211.788099701702,15566.012326473,567.311629902544,4460.06041291489,4158.38335071189,301.677062203,11742.3665232035,127717.661606094,0,127717.661606094,0,1,0.85703,0.25738,1.12949,2004-01-01,0,0,0,1,1,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,1,1,0,1,365,365,198,365,365,198,1002661,39475.7344586918,1.61384264785676,Panhandle,1,2.44607084284934,5.89989735358249,0,5.89989735358249,5.89989735358249,0,5.89989735358249,3.65,0,3.65,3.65,0,3.65,20,0,18,9,44
2004,2,1,1146102.70475054,1440006.69821163,237918.263067818,1202088.43514386,885689.670602023,446134.501076653,34573.1309125246,411561.370164128,82618.0439944362,0,0,0,0,1,0.85703,0.25738,1.12949,2004-01-01,0,0,0,1,1,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,1,1,0,1,365,365,198,365,365,198,1002661,39475.7344586918,1.61384264785676,Peninsula,1,2.44607084284934,5.89989735358249,0,5.89989735358249,5.89989735358249,0,5.89989735358249,3.65,0,3.65,3.65,0,3.65,20,0,18,9,44
2004,1,2,38573.260275276,17053.1799025943,4932.79569009428,12120.3842125,13001.9084171335,7308.92286187906,7308.92286187906,0,38055.1250337667,26664.8452675,0,26664.8452675,0,1,0.85703,0.25738,1.12949,2004-02-01,31,0.875891705144243,0.508670943852104,0.860961015888994,0.482507741761218,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,2,1,0,1,365,365,198,365,365,198,1002661,39475.7344586918,1.6669524838013,Panhandle,1,2.3681379548787,5.89989735358249,0,5.89989735358249,5.89989735358249,0,5.89989735358249,3.65,0,3.65,3.65,0,3.65,32,0,0,30,24
2004,2,2,386415.766413943,387406.178593454,44771.1166639511,342635.061929533,160532.271651651,254485.477508566,24026.6044661852,230458.87304244,96717.9758512697,246.24027435,0,246.24027435,0,1,0.85703,0.25738,1.12949,2004-02-01,31,0.875891705144243,0.508670943852104,0.860961015888994,0.482507741761218,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,2,1,0,1,365,365,198,365,365,198,1002661,39475.7344586918,1.6669524838013,Peninsula,0.931034482758621,2.3681379548787,5.89989735358249,0,5.89989735358249,5.89989735358249,0,5.89989735358249,3.65,0,3.65,3.65,0,3.65,32,0,0,30,24
2004,1,3,2375387.819763,259002.261629621,110071.01962654,148931.242003071,389689.038493947,114716.870435058,53104.7322889766,61612.138146081,237249.314367847,497941.787296134,0,497941.787296134,0,1,0.85703,0.25738,1.12949,2004-03-01,60,0.880012203973536,0.858763958275803,0.512371412128424,-0.47495107206705,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,3,1,0,1,365,365,198,365,365,198,1002661,39475.7344586918,1.75423308270677,Panhandle,1,2.25031296284648,5.89989735358249,0,5.89989735358249,5.89989735358249,0,5.89989735358249,3.65,0,3.65,3.65,0,3.65,45,95,30,55,34
2004,2,3,241729.477559186,552231.340833453,49244.583492398,502986.757341771,208811.428808684,771267.597168255,45729.9616451868,725537.63552305,178543.182228226,0,0,0,0,1,0.85703,0.25738,1.12949,2004-03-01,60,0.880012203973536,0.858763958275803,0.512371412128424,-0.47495107206705,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,3,1,0,1,365,365,198,365,365,198,1002661,39475.7344586918,1.75423308270677,Peninsula,1,2.25031296284648,5.89989735358249,0,5.89989735358249,5.89989735358249,0,5.89989735358249,3.65,0,3.65,3.65,0,3.65,45,95,30,55,34
2004,1,4,839406.720066629,409058.575881156,86572.625266517,322485.95061306,306119.8724974,296302.075386031,107538.73121495,188763.34416825,396699.761485267,220407.085566738,38154.0861833305,182252.999383394,69749.7293003514,1,0.85703,0.25738,1.12949,2004-04-01,91,0.0086069968886887,0.99999073973619,0.00430353829624429,-0.999962959116266,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,4,1,0.4,1,365,365,198,365,365,198,1002661,39475.7344586918,1.80977588046958,Panhandle,0.933333333333333,2.18124989313312,5.89989735358249,2.11530681227781,5.89989735358249,5.89989735358249,2.11530681227781,5.89989735358249,3.65,0.792,3.65,3.65,0.792,3.65,64,0,30,42,43
2004,2,4,1046052.83995691,705377.149846067,101272.027157453,604105.12268816,345939.720596274,1313460.10588759,195501.577464529,1117958.5284235,654930.346077346,67494.0374536407,101.851766988725,67392.185686652,190.969924707702,1,0.85703,0.25738,1.12949,2004-04-01,91,0.0086069968886887,0.99999073973619,0.00430353829624429,-0.999962959116266,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,4,1,0.4,1,365,365,198,365,365,198,1002661,39475.7344586918,1.80977588046958,Peninsula,1,2.18124989313312,5.89989735358249,2.11530681227781,5.89989735358249,5.89989735358249,2.11530681227781,5.89989735358249,3.65,0.792,3.65,3.65,0.792,3.65,64,0,30,42,43
2004,1,5,817918.210404818,203319.580290621,92281.5268264449,111038.053464155,259247.099816884,188220.206955645,57040.5977174793,131179.609238197,119667.347020686,643425.303510988,255603.397097412,387821.906413602,371017.815631292,1,0.85703,0.25738,1.12949,2004-05-01,121,-0.854322169749827,0.871706318709322,-0.490028666429059,-0.519743812155516,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,5,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.96442712765957,Panhandle,1,2.00952908371426,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,66,0,82,37,41
2004,2,5,753396.339571842,729160.814837718,56431.0738944102,672729.740943308,167108.310438108,992919.978457909,90647.9637206613,902272.01473705,284949.769601211,3095.2644787,0,3095.2644787,0,1,0.85703,0.25738,1.12949,2004-05-01,121,-0.854322169749827,0.871706318709322,-0.490028666429059,-0.519743812155516,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,5,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.96442712765957,Peninsula,NA,2.00952908371426,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,66,0,82,37,41
2004,1,6,1274207.18947249,123565.532859637,34961.3745346815,88604.1583248714,101215.657985296,122328.989057849,48948.8430931982,73380.1459646482,106385.994787407,727966.583260795,252879.945760353,475086.637500423,320919.660348438,1,0.85703,0.25738,1.12949,2004-06-01,152,-0.867456354729597,0.501241813445776,-0.865307254363206,0.49751328890718,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,6,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.98828873611846,Panhandle,1,1.98541256818446,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,63,0,0,34,17
2004,2,6,416107.546804148,507451.663211843,15004.9953541214,492446.667857701,52093.2250536079,986763.088439835,74631.0337323729,912132.054708611,198580.892458844,2274.1172912,0,2274.1172912,0,1,0.85703,0.25738,1.12949,2004-06-01,152,-0.867456354729597,0.501241813445776,-0.865307254363206,0.49751328890718,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,6,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.98828873611846,Peninsula,NA,1.98541256818446,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,63,0,0,34,17
2004,1,7,1281514.2057647,220060.124275344,80890.3507842196,139169.773491123,266875.0108602,174880.777846584,33408.8843384633,141471.893508432,77464.3473589301,628711.728203543,240179.071178226,388532.657025383,401327.36504076,1,0.85703,0.25738,1.12949,2004-07-01,182,-0.0172133561558353,0.0086069968886887,-0.999962959116266,0.999851839209116,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,7,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.91896046389035,Panhandle,1,2.05714162441167,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,70,42,27,35,23
2004,2,7,474834.614288478,118817.399434229,14060.1216044221,104757.277829559,47051.812914199,409981.635235928,31396.6839439733,378584.951292236,99903.5667238228,19082.1401379444,584.780848344389,18497.3592896,1298.21348329999,1,0.85703,0.25738,1.12949,2004-07-01,182,-0.0172133561558353,0.0086069968886887,-0.999962959116266,0.999851839209116,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,7,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.91896046389035,Peninsula,NA,2.05714162441167,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,70,42,27,35,23
2004,1,8,1406641.89076411,213499.409856639,63637.3484763333,149862.061380246,179184.052069446,375219.700331689,77157.8277666528,298061.872565449,211036.061606004,799691.083041047,195513.565709126,604177.517331029,294478.698537966,1,0.85703,0.25738,1.12949,2004-08-01,213,0.867456354729596,-0.501241813445775,-0.865307254363206,0.497513288907181,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,8,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.81695881731785,Panhandle,1,2.17262681368667,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,67,0,35,49,41
2004,2,8,1080880.02604907,269071.353579469,24976.1941978691,244095.1593816,72120.3213117656,799979.915304775,114484.025087481,685495.890218032,320181.034744787,0,0,0,0,1,0.85703,0.25738,1.12949,2004-08-01,213,0.867456354729596,-0.501241813445775,-0.865307254363206,0.497513288907181,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,8,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.81695881731785,Peninsula,1,2.17262681368667,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,67,0,35,49,41
2004,1,9,121564.935785501,38425.007427816,13330.2893588509,25094.718068951,49402.4349276989,27905.8165585306,7644.60137958956,20261.215178951,22680.5251856377,68852.0627034169,21280.1561300449,47571.906573379,31586.7897842734,1,0.85703,0.25738,1.12949,2004-09-01,244,0.854322169749827,-0.871706318709322,-0.490028666429059,-0.519743812155515,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,9,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.87895778364116,Panhandle,0.866666666666667,2.1009378072451,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,40,0,0,35,8
2004,2,9,72704.772186,33123.5313571033,5207.80723636325,27915.72412074,14633.8781611226,11432.9591228641,493.398162114073,10939.56096075,1451.82409202753,0,0,0,0,1,0.85703,0.25738,1.12949,2004-09-01,244,0.854322169749827,-0.871706318709322,-0.490028666429059,-0.519743812155515,1.054,NA,NA,NA,1.82301,0.27348,1.82372,5,5,2,9,1,1,1,365,365,198,365,365,198,1002661,39475.7344586918,1.87895778364116,Peninsula,NA,2.1009378072451,5.89989735358249,5.28826703069454,5.89989735358249,5.89989735358249,5.28826703069454,5.89989735358249,3.65,1.98,3.65,3.65,1.98,3.65,40,0,0,35,8
