year,fl_reg,month,Trips
2004,1,1,189525.582007188
2004,1,10,2369267.702828
2004,1,11,654591.214258521
2004,1,12,199606.795269127
2004,1,2,38573.260275276
2004,1,3,2375387.819763
2004,1,4,839406.720066629
2004,1,5,817918.210404818
2004,1,6,1274207.18947249
2004,1,7,1281514.2057647
2004,1,8,1406641.89076411
2004,1,9,121564.935785501
2004,2,1,1146102.70475054
2004,2,10,375785.605265923
2004,2,11,1424160.11706363
2004,2,12,591422.100131112
2004,2,2,386415.766413943
2004,2,3,241729.477559186
2004,2,4,1046052.83995691
2004,2,5,753396.339571842
2004,2,6,416107.546804148
2004,2,7,474834.614288478
2004,2,8,1080880.02604907
2004,2,9,72704.772186
2005,1,1,120986.058930272
2005,1,10,307764.813169364
2005,1,11,23911.7499961166
2005,1,12,241082.508170416
2005,1,2,514914.518696375
2005,1,3,492390.721814645
2005,1,4,1728410.19950587
2005,1,5,1009734.2542951
2005,1,6,560170.982104193
2005,1,7,698876.673185559
2005,1,8,487593.527026359
2005,1,9,427358.69545818
2005,2,1,211126.887365245
2005,2,10,262596.901889767
2005,2,11,941247.275503057
2005,2,12,231835.26221339
2005,2,2,471094.306534321
2005,2,3,1393879.9560089
2005,2,4,1470193.63705369
2005,2,5,1397455.68369242
2005,2,6,727360.016707106
2005,2,7,286901.24252342
2005,2,8,576792.543328111
2005,2,9,413764.770619526
2006,1,10,205740.080233394
2006,1,11,423359.287142298
2006,1,12,743384.524412528
2006,1,2,510154.680538724
2006,1,3,149586.9955808
2006,1,4,876321.633265904
2006,1,5,1478803.92652974
2006,1,6,1319512.46826567
2006,1,7,456538.052321602
2006,1,8,484395.392565852
2006,1,9,639366.943452559
2006,2,1,577332.885808344
2006,2,10,108445.203886329
2006,2,11,511479.94825588
2006,2,12,1231143.89246466
2006,2,2,537786.010323595
2006,2,3,603133.730296947
2006,2,4,210481.45707984
2006,2,5,207574.73160966
2006,2,6,593607.22535359
2006,2,7,133592.2573438
2006,2,8,76952.97512443
2006,2,9,202291.839355
2007,1,1,74457.2186691774
2007,1,10,320261.230470931
2007,1,11,176514.922402196
2007,1,12,552564.545075382
2007,1,2,57304.215996187
2007,1,3,513544.531165324
2007,1,4,1603338.64915541
2007,1,5,804992.537260264
2007,1,6,1724690.47396837
2007,1,7,931924.585912603
2007,1,8,1243022.31701977
2007,1,9,664543.427741348
2007,2,1,324030.767619208
2007,2,10,94213.26773313
2007,2,11,704264.092719415
