"year","fl_reg","month","RS_catch","RS_harvest","RS_Discard","RS_weight"
"2004","1","1",127717.661606094,0,127717.661606094,0
"2004","1","10",1550110.11071498,564963.04109192,985147.069621854,812611.622370736
"2004","1","11",14667.6179738982,0,14667.6179738982,0
"2004","1","12",2891.9819345121,0,2891.9819345121,0
"2004","1","2",26664.8452675,0,26664.8452675,0
"2004","1","3",497941.787296134,0,497941.787296134,0
"2004","1","4",220407.085566738,38154.0861833305,182252.999383394,69749.7293003514
"2004","1","5",643425.303510988,255603.397097412,387821.906413602,371017.815631292
"2004","1","6",727966.583260795,252879.945760353,475086.637500423,320919.660348438
"2004","1","7",628711.728203543,240179.071178226,388532.657025383,401327.36504076
"2004","1","8",799691.083041047,195513.565709126,604177.517331029,294478.698537966
"2004","1","9",68852.0627034169,21280.1561300449,47571.906573379,31586.7897842734
"2004","2","1",0,0,0,0
"2004","2","10",7978.00227711,6543.74354187,1434.25873524,10747.883490711
"2004","2","11",0,0,0,0
"2004","2","12",0,0,0,0
"2004","2","2",246.24027435,0,246.24027435,0
"2004","2","3",0,0,0,0
"2004","2","4",67494.0374536407,101.851766988725,67392.185686652,190.969924707702
"2004","2","5",3095.2644787,0,3095.2644787,0
"2004","2","6",2274.1172912,0,2274.1172912,0
"2004","2","7",19082.1401379444,584.780848344389,18497.3592896,1298.21348329999
"2004","2","8",0,0,0,0
"2004","2","9",0,0,0,0
"2005","1","1",284886.86631773,0,284886.86631773,0
"2005","1","10",349427.579320643,31872.0245164409,317555.554804184,51754.807377329
"2005","1","11",3523.8060752508,0,3523.8060752508,0
"2005","1","12",1075.479249918,0,1075.479249918,0
"2005","1","2",50942.569848426,0,50942.569848426,0
"2005","1","3",161283.791611325,0,161283.791611325,0
"2005","1","4",817203.91599031,236265.288526107,580938.627464191,405719.746989547
"2005","1","5",382929.399784795,181955.127071144,200974.272713705,270350.508716738
"2005","1","6",361563.30574031,108261.748469528,253301.557270712,232150.758557453
"2005","1","7",334917.062266599,69916.3418712252,265000.720395631,141193.83060958
"2005","1","8",426753.595479524,147603.121599149,279150.473880431,190563.522420498
"2005","1","9",341697.751682004,62405.9808560658,279291.770825905,155963.931636552
"2005","2","1",154.04852827,0,154.04852827,0
"2005","2","10",32162.5062027,27967.396698,4195.1095047,49614.161742252
"2005","2","11",3724.4205802,0,3724.4205802,0
"2005","2","12",24856.7178792,0,24856.7178792,0
"2005","2","2",8566.931077725,0,8566.931077725,0
"2005","2","3",0,0,0,0
"2005","2","4",0,0,0,0
"2005","2","5",2538.58079225221,2073.03850274721,465.542289505,4128.75344726994
"2005","2","6",0,0,0,0
"2005","2","7",34662.5712032,0,34662.5712032,0
"2005","2","8",21727.99681128,13892.46256236,7835.53424892,23137.108370433
"2005","2","9",83167.5522781841,38182.0375081841,44985.51477,102773.317623084
"2006","1","1",0,0,0,0
"2006","1","10",475268.009428308,66292.6326807858,408975.376752091,100802.186021602
"2006","1","11",28257.524565991,0,28257.524565991,0
"2006","1","12",206997.223062467,0,206997.223062467,0
"2006","1","2",3017.760927309,0,3017.760927309,0
"2006","1","3",162439.921784835,0,162439.921784835,0
"2006","1","4",637336.556446204,142506.455766794,494830.10067941,246139.054627015
"2006","1","5",860479.703346438,270394.864285089,590084.839061325,361707.395028188
"2006","1","6",964397.560371339,320686.197010031,643711.363362127,465209.794996076
"2006","1","7",372760.559861415,128243.816336624,244516.743524683,197916.341566053
"2006","1","8",516717.409132881,124117.863319202,392599.545813758,151698.978591313
"2006","1","9",186563.965894503,43717.8887275753,142846.077166956,57270.5112638358
"2006","2","1",5383.7967394,0,5383.7967394,0
"2006","2","10",44.536860625,0,44.536860625,0
"2006","2","11",0,0,0,0
"2006","2","12",0,0,0,0
"2006","2","2",19162.110859984,0,19162.110859984,0
"2006","2","3",1112.24249026,0,1112.24249026,0
"2006","2","4",5385.89674176789,558.052074597891,4827.84466717,664.081968773404
"2006","2","5",19177.6359880208,14228.1434533208,4949.4925347,16061.0724395811
"2006","2","6",23632.1403164375,13699.7569060775,9932.38341036,23213.4256893473
"2006","2","7",23998.7699168,0,23998.7699168,0
"2006","2","8",0,0,0,0
"2006","2","9",0,0,0,0
"2007","1","1",1454.9873822742,0,1454.9873822742,0
"2007","1","10",215233.763656102,66443.1266853181,148790.636970466,81343.7143042105
"2007","1","11",8764.67462788,0,8764.67462788,0
"2007","1","12",926.78612708,0,926.78612708,0
"2007","1","2",58725.6652755876,0,58725.6652755876,0
"2007","1","3",479171.68945607,9668.478424,469503.21103207,13933.95365874
"2007","1","4",827856.07739524,417718.198864201,410137.87853096,525534.856225681
"2007","1","5",405112.828867929,137483.011640832,267629.817227103,200495.691554466
"2007","1","6",1504133.18760951,396344.05744254,1107789.13016699,552245.26299498
"2007","1","7",709642.284187203,201238.53753006,508403.746656914,300009.086952472
"2007","1","8",1117619.76454344,288646.644968413,828973.119576129,445013.482714579
"2007","1","9",613328.354605394,88588.387548294,524739.967056765,123504.619840913
"2007","2","1",1256.872165125,0,1256.872165125,0
"2007","2","10",184.211219022462,184.211219022462,0,219.211350627021
"2007","2","11",0,0,0,0
"2007","2","12",0,0,0,0
"2007","2","2",0,0,0,0
