Month,red snapper: (Florida)
2004-01,18
2004-02,0
2004-03,30
2004-04,30
2004-05,82
2004-06,0
2004-07,27
2004-08,35
2004-09,0
2004-10,0
2004-11,22
2004-12,0
2005-01,0
2005-02,9
2005-03,23
2005-04,13
2005-05,0
2005-06,12
2005-07,36
2005-08,34
2005-09,11
2005-10,0
2005-11,14
2005-12,15
2006-01,14
2006-02,26
2006-03,20
2006-04,33
2006-05,12
2006-06,18
2006-07,17
2006-08,23
2006-09,0
2006-10,6
2006-11,18
2006-12,12
2007-01,6
2007-02,0
2007-03,10
2007-04,17
2007-05,22
2007-06,17
2007-07,27
2007-08,27
2007-09,14
2007-10,14
2007-11,12
2007-12,14
2008-01,13
2008-02,22
2008-03,18
2008-04,25
2008-05,27
2008-06,33
2008-07,29
2008-08,15
2008-09,18
2008-10,18
2008-11,15
2008-12,13
2009-01,17
2009-02,18
2009-03,29
2009-04,16
2009-05,25
2009-06,36
2009-07,25
2009-08,13
2009-09,15
2009-10,10
2009-11,17
2009-12,24
2010-01,17
2010-02,20
2010-03,24
2010-04,16
2010-05,15
2010-06,38
2010-07,20
2010-08,17
2010-09,27
2010-10,25
2010-11,17
2010-12,13
2011-01,17
2011-02,17
2011-03,29
2011-04,23
2011-05,27
2011-06,44
2011-07,37
2011-08,22
2011-09,19
2011-10,14
2011-11,13
2011-12,14
2012-01,18
2012-02,17
2012-03,19
2012-04,25
2012-05,31
2012-06,40
2012-07,38
2012-08,24
2012-09,29
2012-10,18
2012-11,13
2012-12,16
2013-01,19
2013-02,23
2013-03,19
2013-04,19
2013-05,29
2013-06,47
2013-07,37
2013-08,44
2013-09,29
2013-10,24
2013-11,20
2013-12,20
2014-01,22
2014-02,22
2014-03,27
2014-04,27
2014-05,41
2014-06,54
2014-07,60
2014-08,30
2014-09,20
2014-10,21
2014-11,19
2014-12,22
2015-01,14
2015-02,23
2015-03,27
2015-04,35
2015-05,48
2015-06,60
2015-07,37
2015-08,30
2015-09,27
2015-10,23
2015-11,20
2015-12,27
2016-01,24
2016-02,31
2016-03,32
2016-04,35
2016-05,46
2016-06,56
2016-07,39
2016-08,28
2016-09,29
2016-10,21
2016-11,25
2016-12,23
2017-01,23
2017-02,31
2017-03,31
2017-04,39
2017-05,52
2017-06,74
2017-07,58
2017-08,34
2017-09,24
2017-10,31
2017-11,30
2017-12,30
2018-01,22
2018-02,30
2018-03,33
2018-04,45
2018-05,41
2018-06,89
2018-07,74
2018-08,65
2018-09,32
2018-10,23
2018-11,22
2018-12,26
2019-01,27
2019-02,27
2019-03,41
2019-04,41
2019-05,45
2019-06,86
2019-07,87
2019-08,33
2019-09,24
2019-10,39
2019-11,22
2019-12,24
2020-01,28
2020-02,34
2020-03,34
2020-04,33
2020-05,58
2020-06,99
2020-07,89
2020-08,41
2020-09,34
2020-10,34
2020-11,32
2020-12,31
2021-01,29
2021-02,33
2021-03,43
2021-04,47
2021-05,53
2021-06,87
2021-07,90
2021-08,35
2021-09,32
2021-10,38
2021-11,25
2021-12,31
2022-01,29
2022-02,33
2022-03,42
2022-04,45
2022-05,54
2022-06,87
2022-07,85
2022-08,44
2022-09,30
2022-10,34
2022-11,28
2022-12,25
2023-01,27
2023-02,37
2023-03,43
2023-04,48
2023-05,60
2023-06,83
2023-07,100
2023-08,43
2023-09,36
2023-10,28
2023-11,28
2023-12,26
2024-01,26
2024-02,33
